date_from,date_to,term,missing_data,trend_index,trend_index_12w_ma,trend_index_52w_ma,trend_index_12w_ma_prior_year,trend_index_12w_ma_yoy_pct
2022-09-25,2022-10-01,AI Porn,False,2.0,2.083333333333333,1.9807692307692308,,
2022-09-25,2022-10-01,Best Colleges,False,37.0,46.583333333333336,37.82692307692308,,
2022-09-25,2022-10-01,Trade School,False,10.0,9.833333333333334,9.326923076923077,,
2022-10-02,2022-10-08,AI Porn,False,2.0,2.083333333333333,1.9807692307692308,,
2022-10-02,2022-10-08,Best Colleges,False,35.0,45.41666666666666,37.86538461538461,,
2022-10-02,2022-10-08,Trade School,False,10.0,10.0,9.326923076923077,,
2022-10-09,2022-10-15,AI Porn,False,2.0,2.083333333333333,1.9807692307692308,,
2022-10-09,2022-10-15,Best Colleges,False,39.0,44.16666666666666,38.03846153846154,,
2022-10-09,2022-10-15,Trade School,False,10.0,10.166666666666666,9.326923076923077,,
2022-10-16,2022-10-22,AI Porn,False,3.0,2.1666666666666665,2.0,1.9166666666666667,13.043478260869556
2022-10-16,2022-10-22,Best Colleges,False,33.0,42.5,38.07692307692308,38.5,10.389610389610391
2022-10-16,2022-10-22,Trade School,False,10.0,10.333333333333334,9.26923076923077,10.166666666666666,1.6393442622950838
2022-10-23,2022-10-29,AI Porn,False,3.0,2.25,2.019230769230769,1.9166666666666667,17.391304347826075
2022-10-23,2022-10-29,Best Colleges,False,31.0,41.0,38.11538461538461,37.0,10.81081081081081
2022-10-23,2022-10-29,Trade School,False,11.0,10.5,9.288461538461538,10.333333333333334,1.6129032258064502
2022-10-30,2022-11-05,AI Porn,False,3.0,2.333333333333333,2.0384615384615383,1.9166666666666667,21.739130434782616
2022-10-30,2022-11-05,Best Colleges,False,33.0,40.083333333333336,38.21153846153846,35.5,12.910798122065724
2022-10-30,2022-11-05,Trade School,False,10.0,10.666666666666666,9.307692307692308,10.333333333333334,3.2258064516129004
2022-11-06,2022-11-12,AI Porn,False,2.0,2.333333333333333,2.0384615384615383,1.9166666666666667,21.739130434782616
2022-11-06,2022-11-12,Best Colleges,False,30.0,38.833333333333336,38.23076923076923,34.5,12.560386473429965
2022-11-06,2022-11-12,Trade School,False,9.0,10.5,9.307692307692308,10.083333333333334,4.132231404958664
2022-11-13,2022-11-19,AI Porn,False,2.0,2.333333333333333,2.0384615384615383,1.9166666666666667,21.739130434782616
2022-11-13,2022-11-19,Best Colleges,False,29.0,37.333333333333336,38.23076923076923,33.583333333333336,11.166253101736975
2022-11-13,2022-11-19,Trade School,False,9.0,10.25,9.307692307692308,10.0,2.499999999999991
2022-11-20,2022-11-26,AI Porn,False,3.0,2.4166666666666665,2.0576923076923075,2.0,20.833333333333325
2022-11-20,2022-11-26,Best Colleges,False,25.0,35.916666666666664,38.21153846153846,32.5,10.512820512820497
2022-11-20,2022-11-26,Trade School,False,7.0,9.75,9.307692307692308,9.75,0.0
