year,mortgage_rate_pct,median_new_house_price_usd,median_personal_income_usd,median_household_income_usd,annual_interest_only_burden_usd,housing_interest_burden_pct_median_personal_income,mortgage_principal_20pct_down_usd,annual_mortgage_principal_interest_20pct_down_usd,mortgage_payment_burden_pct_median_household_income,house_price_to_median_household_income,income_status
2008,6.027169811320754,229550.0,26510.0,50300.0,13835.368301886792,52.18924293431457,183640.0,13250.693450398116,26.343326939161265,4.563618290258449,Census annual actual
2009,5.036538461538461,215650.0,26130.0,49780.0,10861.29519230769,41.566380376225375,172520.0,11159.771885826369,22.41818378028599,4.3320610687022905,Census annual actual
2010,4.689807692307692,222700.0,26180.0,49280.0,10444.201730769231,39.893818681318685,178160.0,11074.968073973429,22.473555344913613,4.519074675324675,Census annual actual
2011,4.447884615384615,224900.0,26590.0,50050.0,10003.2925,37.62050582925912,179920.0,10872.783898994394,21.723843954034752,4.493506493506493,Census annual actual
2012,3.6575,244400.0,26990.0,51020.0,8938.929999999998,33.11941459799925,195520.0,10743.022082645492,21.05649173391904,4.790278322226578,Census annual actual
2013,3.9755769230769222,266225.0,27680.0,53590.0,10583.979663461538,38.236920749499774,212980.0,12165.630958810478,22.70130800300518,4.967811158798283,Census annual actual
2014,4.168867924528302,285775.0,28760.0,53660.0,11913.582311320752,41.42413877371611,228620.0,13366.090309060708,24.908852607269303,5.325661572866195,Census annual actual
2015,3.8505769230769222,294150.0,30240.0,56520.0,11326.472019230769,37.45526461385836,235320.0,13239.324781147436,23.424141509461137,5.2043524416135885,Census annual actual
2016,3.6540384615384616,305125.0,31100.0,59040.0,11149.38485576923,35.850112076428395,244100.0,13406.57536704562,22.70761410407456,5.168106368563685,Census annual actual
2017,3.989807692307693,322425.0,31960.0,61370.0,12864.137451923078,40.25074296596708,257940.0,14759.158098236536,24.049467326440503,5.253788496007822,Census annual actual
2018,4.544615384615384,325275.0,33710.0,63180.0,14782.497692307692,43.85196586267485,260220.0,15904.84523615546,25.173860772642385,5.148385565052232,Census annual actual
2019,3.935769230769231,320250.0,35980.0,68700.0,12604.300961538462,35.03140900927866,256200.0,14564.03983679964,21.19947574497764,4.6615720524017465,Census annual actual
2020,3.111698113207547,328150.0,35850.0,68010.0,10211.037358490566,28.482670456040637,262520.0,13472.06552620718,19.80894798736536,4.825025731510072,Census annual actual
2021,2.957692307692308,383000.0,37520.0,70780.0,11327.96153846154,30.19179514515336,306400.0,15417.767634566637,21.782661252566594,5.411133088443063,Census annual actual
2022,5.344038461538461,432950.0,40480.0,74580.0,23137.01451923077,57.15665642102462,346360.0,23194.03525830131,31.09953775583441,5.805175650308394,Census annual actual
2023,6.806730769230769,426525.0,42220.0,80610.0,29032.408413461537,68.76458648380279,341220.0,26712.35022173635,33.13776233933302,5.291216970599181,Census annual actual
2024,6.721153846153846,418975.0,45140.0,83730.0,28159.95432692308,62.383593989639074,335180.0,26010.576286101244,31.06482298590857,5.003881523946017,Census annual actual
2026,6.66,410700.0,48974.66149202242,90842.8978007762,27352.620000000003,55.85055448408872,328560.0,25336.98050824605,27.890986661182403,4.520991843530677,2024 Census median personal and household income scaled by BLS median nominal weekly earnings through Q2 2026
